Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
0,-0.0995213318070515,-0.136497085175405,-2.77969978742991,-2.16277966484012,-0.462676212820229,-0.884966012730646,0.30016506649869,-0.422832969690615,-0.910703638202327,-0.038954858048225,0.0136464811619743,-1.39783012088686,0.0357089439861026,-1.36845901526351,177120387.631551
2,-0.0056916136803009,-0.0772084286994582,-2.68091109403735,-2.03645795952977,-0.94770039090972,-0.302378619739719,-0.0896300166108804,-0.231883847726901,-0.96337719040062,0.0416377779789436,0.00185721268816602,-1.4448386990156,-0.282719481451539,-1.34156169166527,119596216.776299
1,0.0296733818765541,-0.121091101127917,-2.64679691500402,-2.14367996699571,-0.465030425311305,-0.363083223945312,0.219683113830158,-0.249441349074054,-1.0002542566474,-0.195646516817118,-0.130694412488261,-1.30246024298836,0.437928165053235,-1.32335711933588,92227177.0538435
3,0.0232554411569286,-0.163523815173748,-2.57733589813741,-2.08494829749241,-0.791164671722128,-0.530481653877659,0.149756300542391,-0.213280629604734,-0.983364775136125,-0.139698348578637,-0.0483170798076534,-1.43403732114999,0.142071784886181,-1.4151208290761,112312435.675761
4,-0.0643200766359143,-0.139052631316145,-2.74800876995323,-2.32139215762259,-0.721552679983179,-0.481513931384616,0.0419851061946175,-0.114719202528721,-1.61376847328684,-0.32768100029582,-0.789111964651628,-1.49778039954911,-0.373154011629589,-1.51165525257427,166441384.841229
10,-0.0929391494853731,-0.186808794220316,-2.6031634404277,-2.10126224898003,-0.86936038303016,-0.00477914205020777,0.0319517241521568,-0.000116364491845415,-0.927233942933732,0.0497619404922481,0.00653248822598921,-1.44671715902998,0.00302180326125707,-1.36568843695571,168927616.668508
7,0.0445047433147339,-0.222640751933955,-2.71726156054009,-2.17122916396801,-0.454116384354226,-0.255944004159002,0.138061580311909,-0.164228117821064,-1.39618478380716,-0.520363446383045,-0.607970375813526,-1.4223020451431,-0.000825362163057316,-1.08481944424571,155766090.523701
9,-0.00589501209809308,-0.0751707431369041,-2.67559556848591,-2.03036281463146,-0.869930458909225,-0.00386302259930322,0.0583702798547674,-0.00280793486857441,-0.936544809919405,0.0297247936111982,-0.0176729509933483,-1.44921778428175,0.00558140822252071,-1.35931738866595,62749910.9319633
8,0.125767170319963,-0.159073933484237,-2.72198523258759,-2.19665142271734,-0.252472819329345,-0.0669285573284415,0.598501838216997,0.0698240998609299,-1.07607006456406,-0.127608181817715,-0.305052478268859,-1.57255476486047,-0.418375642142302,-1.36423721015967,82302429.7243381
12,-0.0113499479108447,-0.091692777670699,-2.69353729523559,-2.08619860248082,-0.849634608084366,-0.0111425883829031,0.0549231799478801,-0.0103678619510481,-0.922686262048323,0.0192724861982133,0.00242742452673792,-1.44400380700208,0.00307261526075418,-1.35914008356299,97194049.5185156
11,-0.149424470170923,-0.121868987621843,-2.77767855159921,-2.11059092066634,-0.728446592841688,-0.332292512857255,0.181786085661947,-0.1040052888753,-0.966230133926316,0.141191716848837,-0.108107667002126,-1.42659880114393,0.0852691661631969,-1.32828672628055,165433443.831888
5,-0.0178984430405688,-0.0684397952409234,-2.75493800536396,-2.17678274763166,-0.83566938533014,-0.207500697696375,0.0889900605905011,-0.0903089123162265,-0.86645074427241,-0.00604280642857242,0.046479397527134,-1.48297771202664,-0.0394347460312745,-1.37618234598378,106076469.665477
13,-0.0561452578597999,-0.162736331028678,-2.65572486851209,-2.37199677092029,-0.713253769294331,-0.111018937996308,0.186352970115957,-0.0954693886573263,-1.13740004361118,-0.242894033007753,-0.248133012086368,-1.39838243203361,0.784954065616187,-1.37908588151962,176811969.477114
6,-0.0805363965481048,-0.0696884053660898,-2.66766225930854,-1.97968395485276,-0.703644789372794,-0.477711727886668,0.155085684324216,-0.339520659480867,-0.810320106647768,-0.160888727383353,0.180882358240528,-1.43052151545502,-0.186840901593736,-1.46631746151772,129536855.185513
15,-0.0511184662566461,0.115673981766571,-2.6459215808688,-1.94582401875598,-0.272783581055299,-0.393608672628707,0.445608595862394,-0.0572577060468872,-0.0488783982521612,0.304017264467779,0.838239551049014,-1.4891462044252,-0.333581291932261,-1.22949437880128,92721960.2142389
14,0.115854180919479,-0.119782257521904,-2.76865461425327,-2.08600410042327,-0.17595514044735,-0.419925275165681,0.537728614254453,-0.067837497328809,-0.824774127095717,-0.164592323986465,0.125366925768057,-1.44887673480983,-0.104493114409514,-1.3892160896778,114775165.559698
17,0.0538775359705515,-0.116582317948396,-2.66613241824835,-2.15986218237167,-0.855725182567788,-0.982617019658102,0.0432591641621008,-0.448665526192966,-1.18228524567993,-0.192839760041419,-0.240147099090016,-1.46184427306588,0.167004033423507,-1.37693750602893,85296076.3846215
18,0.0273122879534709,-0.135029084454852,-2.60278786781607,-2.12106017529277,-0.702107757799512,0.00464814542666637,0.211030156305562,-0.002458007344343,-0.976242370926389,-0.0294909797730933,-0.00647254238131276,-1.40253693176244,-0.0487841598431871,-1.38086929639047,70275103.3043915
16,0.100202720150362,-0.240024358886027,-2.58987808872266,-2.03133934892312,-0.670882995938932,0.292368327333933,0.266497128745706,0.155895726736158,-0.93872443040199,-0.105194419312713,-0.0408648940057727,-1.41662447025409,-0.0297036116316433,-1.28208720850056,154549467.96897
21,0.0296764592490644,-0.118814251006152,-2.68603619471167,-2.08494043728696,-0.936879807247064,-0.751969537019966,0.00237444142754916,-0.285841920461085,-0.957714509494005,-0.0771774224046734,-0.0111899832967107,-1.42625312690409,0.253676847059394,-1.29901934973679,116689141.596873
20,-0.086329906859295,-0.137793069943571,-2.70747529597349,-2.05236491073804,-0.911995825070272,-0.339520953719113,0.1032268607882,-0.102583018732422,-1.00027694745406,-0.110053998264034,-0.0694180410856931,-1.49936208870836,-0.193974964586815,-1.37928203047261,165582305.105795
19,0.113414789628769,-0.133075109877324,-2.76655386799872,-2.13813348177896,-0.156308565148234,0.174038902691602,0.366396170665701,0.307704993972443,-1.28531783608929,-0.676258333363019,-0.397972180264881,-1.389423294709,0.125269973058646,-1.43535352449207,107131235.2465
23,0.227752780125606,-0.251366811199981,-2.55989129639149,-2.17920946289348,-0.293681486094211,0.193597008263217,0.276597087070038,0.0679639358784913,-0.95871203702152,-0.191836132645532,-0.131408118904426,-1.3643261134963,-0.109063244014671,-1.43796689467469,82163414.4788809
22,0.0567501562887857,-0.214703229167965,-2.66781493937704,-2.12960493409184,-0.873390293212907,-0.030917792859022,0.0340082765067629,-0.000860898442528091,-0.93138612432324,-0.0178915127647939,-0.0117800316102961,-1.43978419661475,0.0129825085648469,-1.36437933698037,161853177.345023
24,-0.0604493939515507,-0.150962995992953,-2.74489438161512,-2.07900748502003,-0.847249815375437,-0.294027337372951,0.0377376680904543,-0.0849169293603902,-0.92116519100359,-0.0342155092439805,0.0231881845950968,-1.45402596360537,-0.0952492848077321,-1.36393324370929,266479558.870424
